Start Timestep,End Timestep,Average Episodic Return
390400,390400,38.230385
390800,390800,21.049847
391200,391600,25.457355
392000,392000,17.011372
392400,392400,33.826935
392800,393200,27.844612
393600,393600,26.955872
394000,394000,30.548805
394400,394400,19.391033
394800,395200,32.319675
395600,395600,29.593506
396000,396000,14.077752
396400,396800,27.169456
397200,397200,16.92578
397600,397600,19.949528
398000,398000,18.03962
398400,398800,25.458202
399200,399200,17.868452
399600,399600,18.572966
400000,400000,18.99997
400400,400800,25.699722
401200,401200,40.012085
401600,401600,28.245354
402000,402400,20.501732
402800,402800,24.433022
403200,403200,22.741943
403600,403600,41.30641
404000,404400,30.1555
404800,404800,14.08492
405200,405200,46.146416
405600,406000,34.231033
406400,406400,24.234234
406800,406800,24.893435
407200,407200,30.571537
407600,408000,42.48057
408400,408400,35.299774
408800,408800,17.349243
409200,409600,20.07647
410000,410000,39.98605
410400,410400,22.200832
410800,410800,28.08691
411200,411600,16.73015
412000,412000,35.782173
412400,412400,22.562859
412800,412800,31.802551
413200,413600,25.006907
414000,414000,26.97556
414400,414400,20.238668
414800,415200,19.023685
415600,415600,43.726017
416000,416000,37.80098
416400,416400,33.077164
416800,417200,28.575283
417600,417600,39.19496
418000,418000,21.346905
418400,418800,27.787167
419200,419200,15.458274
419600,419600,16.07708
420000,420000,35.023468
420400,420800,28.539066
421200,421200,36.293987
421600,421600,38.29074
422000,422400,20.7075
422800,422800,17.407888
423200,423200,24.754473
423600,423600,55.68412
424000,424400,44.716026
424800,424800,21.59137
425200,425200,29.634924
425600,425600,15.0924835
426000,426400,46.029312
426800,426800,37.181297
427200,427200,30.278675
427600,428000,25.315414
428400,428400,21.681467
428800,428800,25.907898
429200,429200,15.96963
429600,430000,21.547796
430400,430400,41.60623
430800,430800,49.437027
431200,431600,22.692513
432000,432000,38.91858
432400,432400,23.835098
432800,432800,29.837944
433200,433600,36.678253
434000,434000,38.2903
434400,434400,9.834959
434800,435200,36.969288
435600,435600,11.266132
436000,436000,17.699944
436400,436400,16.854065
436800,437200,27.196672
437600,437600,18.436832
438000,438000,50.95327
438400,438400,35.468105
438800,439200,29.712214
439600,439600,46.857643
440000,440000,52.84356
440400,440800,28.997719
441200,441200,23.6386
441600,441600,43.67443
442000,442000,37.35151
442400,442800,43.77182
443200,443200,38.02071
443600,443600,36.067028
444000,444400,7.7206726
444800,444800,22.37155
445200,445200,48.868397
445600,445600,31.360708
446000,446400,44.56344
446800,446800,28.468666
447200,447200,36.392464
447600,448000,30.613342
448400,448400,29.01292
448800,448800,32.38042
449200,449200,20.655155
449600,450000,31.84756
450400,450400,26.000362
450800,450800,39.29711
451200,451200,23.35458
451600,452000,37.609455
452400,452400,33.744576
452800,452800,18.21392
453200,453600,22.890251
454000,454000,31.817467
454400,454400,42.38171
454800,454800,31.160456
455200,455600,20.919151
456000,456000,28.0774
456400,456400,29.086283
456800,457200,18.216269
457600,457600,27.929207
