## SLURM PROLOG ###############################################################
##    Job ID : 8517521
##  Job Name : runs_rocksample_15_15_transformer
##  Nodelist : gpu2103
##      CPUs : 
##  Mem/Node : 32768 MB
## Directory : /oscar/home/kguo32/pobax/scripts/launching
##   Job Started : Sat Feb 22 07:09:34 PM EST 2025
###############################################################################
obs (65,)
timesteps=186768 - 188304, avg episodic return=10.00
timesteps=186384 - 187920, avg episodic return=12.50
timesteps=186512 - 187536, avg episodic return=10.00
timesteps=188432 - 190352, avg episodic return=10.00
timesteps=189072 - 189968, avg episodic return=10.00
timesteps=188560 - 190352, avg episodic return=10.00
timesteps=188688 - 190352, avg episodic return=10.00
timesteps=188688 - 189200, avg episodic return=6.67
timesteps=190608 - 192144, avg episodic return=5.00
timesteps=190480 - 192144, avg episodic return=10.00
timesteps=191504 - 191504, avg episodic return=-10.00
timesteps=190736 - 192272, avg episodic return=10.00
timesteps=190736 - 192272, avg episodic return=10.00
timesteps=192528 - 194448, avg episodic return=10.00
timesteps=192528 - 194448, avg episodic return=11.54
timesteps=192528 - 194320, avg episodic return=11.43
timesteps=192656 - 194192, avg episodic return=12.00
timesteps=192784 - 194448, avg episodic return=10.00
timesteps=194576 - 196496, avg episodic return=11.67
timesteps=194704 - 196368, avg episodic return=10.00
timesteps=195088 - 196240, avg episodic return=12.00
timesteps=194832 - 196496, avg episodic return=10.00
timesteps=194704 - 196112, avg episodic return=10.00
timesteps=196880 - 198544, avg episodic return=8.00
timesteps=196624 - 198416, avg episodic return=10.00
timesteps=196880 - 197776, avg episodic return=12.00
timesteps=196624 - 198544, avg episodic return=10.00
timesteps=196624 - 198544, avg episodic return=8.75
timesteps=198672 - 200592, avg episodic return=10.00
timesteps=198672 - 200464, avg episodic return=10.00
timesteps=199056 - 199696, avg episodic return=10.00
timesteps=198928 - 200464, avg episodic return=10.00
timesteps=198928 - 200592, avg episodic return=7.78
timesteps=200976 - 202640, avg episodic return=12.50
timesteps=200720 - 202512, avg episodic return=10.00
timesteps=200720 - 202256, avg episodic return=12.00
timesteps=200976 - 202000, avg episodic return=10.00
timesteps=201232 - 201872, avg episodic return=10.00
timesteps=202768 - 204560, avg episodic return=7.78
timesteps=203152 - 204432, avg episodic return=10.00
timesteps=202768 - 204560, avg episodic return=8.00
timesteps=203024 - 204176, avg episodic return=10.00
timesteps=202896 - 204688, avg episodic return=10.00
timesteps=205200 - 206608, avg episodic return=10.00
timesteps=204944 - 206736, avg episodic return=10.00
timesteps=204816 - 206480, avg episodic return=10.00
timesteps=205840 - 206480, avg episodic return=10.00
timesteps=204816 - 206736, avg episodic return=10.00
timesteps=206992 - 208144, avg episodic return=6.67
timesteps=207248 - 208784, avg episodic return=10.00
timesteps=206864 - 208656, avg episodic return=12.00
timesteps=207120 - 208656, avg episodic return=10.00
timesteps=207504 - 208528, avg episodic return=10.00
timesteps=209296 - 210448, avg episodic return=10.00
timesteps=209168 - 210832, avg episodic return=10.00
timesteps=209040 - 210832, avg episodic return=10.00
timesteps=208912 - 210704, avg episodic return=6.67
timesteps=208912 - 210704, avg episodic return=11.82
timesteps=211472 - 212752, avg episodic return=10.00
timesteps=211344 - 212752, avg episodic return=10.00
timesteps=211088 - 212752, avg episodic return=10.00
timesteps=211088 - 212624, avg episodic return=10.00
timesteps=211344 - 212496, avg episodic return=11.67
timesteps=213136 - 214928, avg episodic return=10.00
timesteps=213008 - 214928, avg episodic return=9.00
timesteps=213008 - 214928, avg episodic return=10.00
timesteps=213904 - 214672, avg episodic return=10.00
timesteps=213264 - 214928, avg episodic return=10.00
timesteps=215056 - 216720, avg episodic return=8.00
timesteps=215056 - 216976, avg episodic return=10.00
timesteps=215568 - 216976, avg episodic return=10.00
timesteps=215056 - 216848, avg episodic return=7.27
timesteps=215312 - 216976, avg episodic return=9.00
timesteps=217360 - 219024, avg episodic return=8.33
